Account name,Site name,Transferable,Sandbox,Environment name,WP Site URL,Environment type (PRD/STG/DEV),Domain,PHP version,WP version,DB storage (GB),File storage (GB),Total storage (GB),Bandwidth 30 day avg (GB),Bandwidth 30 day sum (GB),Total Visits 30 day avg,Total Visits 30 day sum,Site Tags
everneu,CNT Legacy,false,false,cntlegacy,http://cntlegacy.wpenginepowered.com,PRD,cntlegacy.wpenginepowered.com,7.4,6.8.2,0.37405396,1.36548996,1.73954391,0.00302698,0.09383633,9,284,
everneu,Crain Supply,false,false,crainsupply,http://crainsupply.wpengine.com,PRD,crainsupply.wpengine.com,7.4,6.8.2,0.07795334,0.32115936,0.39911270,0.00001344,0.00041661,0,6,
everneu,C-Tech Controls,false,false,ctechcontrols,http://ctechcontrols.wpengine.com,PRD,ctechcontrols.wpengine.com,7.4,6.8.2,0.11148071,0.30205154,0.41353226,0.00005991,0.00185711,0,4,
everneu,Dallas HCA,false,false,dallashcadev,http://dallashcadev.wpenginepowered.com,DEV,dallashcadev.wpenginepowered.com,7.4,6.8.2,0.15990829,0.72819519,0.88810349,0.00092776,0.02876046,1,36,
everneu,Dallas HCA,false,false,dallashca,http://homecareassistanceofdallas.com,PRD,homecareassistanceofdallas.com,7.4,6.8.2,0.22853088,3.39589691,3.62442780,0.29774017,9.22994515,341,10582,
everneu,Dallas HCA,false,false,dallashcastg,http://dallashcastg.wpenginepowered.com,STG,dallashcastg.wpenginepowered.com,7.4,6.8.2,0.14425659,0.69301987,0.83727646,0.00019083,0.00591579,0,6,
everneu,David Quick,false,false,davidquickdev,http://davidquickdev.wpenginepowered.com,DEV,davidquickdev.wpenginepowered.com,8.2,6.8.2,0.24487305,0.79199600,1.03686905,0.00033844,0.01049176,0,10,
everneu,David Quick,false,false,davidquick,http://davidquickleadershipcoaching.com,PRD,davidquickleadershipcoaching.com,8.2,6.8.2,0.25015640,2.52612305,2.77627945,0.07752544,2.40328862,222,6897,
everneu,Detering,false,false,detering1,http://detering1.wpengine.com,PRD,detering1.wpengine.com,7.4,6.2.2,0.20961380,0.56790543,0.77751923,0.00000008,0.00000256,0,4,Detering
everneu,DEV SandBox,false,false,everneusandbox,http://everneusandbox.wpenginepowered.com,PRD,everneusandbox.wpenginepowered.com,8.2,6.8.2,0.16427612,3.15547180,3.31974792,0.00004933,0.00152911,0,8,
everneu,Dev Team Library,false,false,devteamlib,http://devteamlib.wpenginepowered.com,PRD,devteamlib.wpenginepowered.com,8.2,6.8.2,0.17654037,0.33470917,0.51124954,0.00006160,0.00190956,0,10,
everneu,drakelab,false,false,drakelabdev,http://drakelabdev.wpenginepowered.com,DEV,drakelabdev.wpenginepowered.com,8.2,6.8.2,0.37466812,1.90123367,2.27590179,0.00010292,0.00319045,0,12,
everneu,drakelab,false,false,drakelab,http://drakelab.com,PRD,drakelab.com,8.2,6.8.2,0.38319778,12.80346298,13.18666077,0.23516908,7.29024156,311,9662,
everneu,drakelab,false,false,drakelabstg,http://drakelabstg.wpenginepowered.com,STG,drakelabstg.wpenginepowered.com,8.2,6.8.1,0.32585526,1.05987930,1.38573456,0.00006683,0.00207164,0,8,
everneu,Dr Whelton,false,false,drwhelton,http://drwhelton.wpengine.com,PRD,drwhelton.wpengine.com,7.4,6.8.2,0.04305649,0.18186569,0.22492218,0.00001688,0.00052339,0,3,
everneu,EBS Inkjet USA,false,false,ebsinkjetusa,http://ebsinkjetusa.wpengine.com,PRD,ebsinkjetusa.wpengine.com,7.4,6.8.2,0.13981247,0.52286530,0.66267776,0.00005521,0.00171136,0,6,
everneu,Eco City Junk,false,false,ecocityjunk23,http://ecocityjunk.com,PRD,ecocityjunk.com,7.4,6.8.2,0.01396179,0.28197861,0.29594040,0.04378675,1.35738920,89,2784,
